date,predicted_class,confidence,true_class
2024-07-21 20:11:58,ABBOTTS BABBLER,0.9969726800918579,ABBOTTS BABBLER
2024-07-21 20:11:58,ABBOTTS BABBLER,0.9996814727783203,ABBOTTS BABBLER
2024-07-21 20:11:58,ABBOTTS BABBLER,0.8684040904045105,ABBOTTS BABBLER
2024-07-21 20:11:58,ABBOTTS BABBLER,0.9958791732788086,ABBOTTS BABBLER
2024-07-21 20:11:58,ABBOTTS BABBLER,0.9008868932723999,ABBOTTS BABBLER
2024-07-21 20:11:58,ABBOTTS BABBLER,0.5001822113990784,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BABBLER,0.9977482557296753,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BABBLER,0.9997727274894714,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BABBLER,0.9907373785972595,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BABBLER,0.9927480816841125,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BABBLER,0.9999337196350098,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BABBLER,0.5774385333061218,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BABBLER,0.9284645915031433,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BABBLER,0.5328959822654724,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BABBLER,0.9999984502792358,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BABBLER,0.9999823570251465,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BABBLER,0.9491952657699585,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BABBLER,0.9999998807907104,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BABBLER,0.9999392032623291,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BABBLER,0.995261549949646,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BABBLER,1.0,ABBOTTS BABBLER
2024-07-21 20:11:59,ABBOTTS BOOBY,0.48150065541267395,ABBOTTS BOOBY
2024-07-21 20:12:00,CRANE HAWK,0.5994598269462585,ABBOTTS BOOBY
2024-07-21 20:12:00,MASKED BOOBY,0.6777057647705078,ABBOTTS BOOBY
2024-07-21 20:12:00,ABBOTTS BOOBY,0.9999680519104004,ABBOTTS BOOBY
2024-07-21 20:12:00,SHOEBILL,0.7014394998550415,ABBOTTS BOOBY
2024-07-21 20:12:00,ABBOTTS BOOBY,0.9793285131454468,ABBOTTS BOOBY
2024-07-21 20:12:00,ALBATROSS,0.3167567253112793,ABBOTTS BOOBY
2024-07-21 20:12:00,HAMERKOP,0.5736838579177856,ABBOTTS BOOBY
2024-07-21 20:12:00,ABBOTTS BOOBY,0.999923586845398,ABBOTTS BOOBY
2024-07-21 20:12:00,WATTLED CURASSOW,0.7597890496253967,ABBOTTS BOOBY
2024-07-21 20:12:00,ABBOTTS BOOBY,0.9985796213150024,ABBOTTS BOOBY
2024-07-21 20:12:00,MASKED BOOBY,0.8527847528457642,ABBOTTS BOOBY
2024-07-21 20:12:00,ABBOTTS BOOBY,0.976860761642456,ABBOTTS BOOBY
2024-07-21 20:12:00,ABBOTTS BOOBY,0.9947137236595154,ABBOTTS BOOBY
2024-07-21 20:12:00,MASKED BOOBY,0.6855748891830444,ABBOTTS BOOBY
2024-07-21 20:12:00,ABBOTTS BOOBY,0.9993316531181335,ABBOTTS BOOBY
2024-07-21 20:12:00,BLACK VENTED SHEARWATER,0.6324246525764465,ABBOTTS BOOBY
2024-07-21 20:12:01,ABBOTTS BOOBY,0.9955378770828247,ABBOTTS BOOBY
2024-07-21 20:12:01,MASKED BOOBY,0.999913215637207,ABBOTTS BOOBY
2024-07-21 20:12:01,ABBOTTS BOOBY,0.9893972873687744,ABBOTTS BOOBY
2024-07-21 20:12:01,BALD EAGLE,0.722329318523407,ABBOTTS BOOBY
2024-07-21 20:12:01,ABYSSINIAN GROUND HORNBILL,1.0,ABYSSINIAN GROUND HORNBILL
2024-07-21 20:12:01,ABYSSINIAN GROUND HORNBILL,1.0,ABYSSINIAN GROUND HORNBILL
2024-07-21 20:12:01,ABYSSINIAN GROUND HORNBILL,1.0,ABYSSINIAN GROUND HORNBILL
2024-07-21 20:12:01,ABYSSINIAN GROUND HORNBILL,1.0,ABYSSINIAN GROUND HORNBILL
2024-07-21 20:12:01,ABYSSINIAN GROUND HORNBILL,0.9999091625213623,ABYSSINIAN GROUND HORNBILL
2024-07-21 20:12:01,ABYSSINIAN GROUND HORNBILL,1.0,ABYSSINIAN GROUND HORNBILL
